id,Description,RFQ_Description,Color,Basis_WT,M_Weight,Basic_Area,Caliper,Size_Width,Size_Length,Supplier_ID,Supplier_Name,Suplier_Item,Costing_Method,Primary_Valuation,_GL_Expense_Code,UserDefined_1,UserDefined_2,UserDefined_3,Unit_Cost,PO_Unit_Cost
1110333,ChorusArt Text Gloss,ChorusArt Text Gloss,White,60,122,4,0.0028,25.5,38,10259,Spicers US,1110333,2,1,4510.02,,13000,Updated_Prices_6_21_RF,90.173616,87.5472
1110334,ChorusArt Text Gloss,ChorusArt Text Gloss,White,60,141,4,0.0028,28,40,10259,Spicers US,1110334,2,1,4510.02,,13000,Updated_Prices_6_21_RF,104.217048,101.1816
1110335,ChorusArt Text Gloss,ChorusArt Text Gloss,White,70,103,4,0.0032,24,29,10259,Spicers US,1110335,2,1,4510.02,,11000,Updated_Prices_6_21_RF,72.820176,70.6992
1110336,ChorusArt Text Gloss,ChorusArt Text Gloss,White,70,121,4,0.0032,23.5,35,10259,Spicers US,1110336,2,1,4510.02,,11000,Updated_Prices_6_21_RF,85.546032,83.0544
1110337,ChorusArt Text Gloss,ChorusArt Text Gloss,White,70,143,4,0.0032,25.5,38,10259,Spicers US,1110337,2,1,4510.02,,11000,Updated_Prices_6_21_RF,101.099856,98.1552
1110338,ChorusArt Text Gloss,ChorusArt Text Gloss,White,80,115,4,0.0038,23.5,29,10259,Spicers US,1110338,2,1,4510.02,,9000,Updated_Prices_6_21_RF,81.30408,78.936
1110339,ChorusArt Text Gloss,ChorusArt Text Gloss,White,80,117,4,0.0038,24,29,10259,Spicers US,1110339,2,1,4510.02,,9000,Updated_Prices_6_21_RF,82.718064,80.3088
1110340,ChorusArt Text Gloss,ChorusArt Text Gloss,White,80,139,4,0.0038,23.5,35,10259,Spicers US,1110340,2,1,4510.02,,9000,Updated_Prices_6_21_RF,98.271888,95.4096
1110341,ChorusArt Text Gloss,ChorusArt Text Gloss,White,80,163,4,0.0038,25.5,38,10259,Spicers US,1110341,2,1,4510.02,,9000,Updated_Prices_6_21_RF,115.239696,111.8832
1110342,ChorusArt Text Gloss,ChorusArt Text Gloss,White,100,147,4,0.0047,24,29,10259,Spicers US,1110342,2,1,4510.02,,7500,Updated_Prices_6_21_RF,103.927824,100.9008
1110343,ChorusArt Text Gloss,ChorusArt Text Gloss,White,100,173,4,0.0047,23.5,35,10259,Spicers US,1110343,2,1,4510.02,,7500,Updated_Prices_6_21_RF,122.309616,118.7472
1110344,ChorusArt Text Gloss,ChorusArt Text Gloss,White,100,204,4,0.0047,25.5,38,10259,Spicers US,1110344,2,1,4510.02,,7500,Updated_Prices_6_21_RF,144.226368,140.0256
1110430,ChorusArt Text Gloss,ChorusArt Text Gloss,White,80,66,4,0.0038,17.5,22.5,10259,Spicers US,1110430,2,1,4510.02,,18000,Updated_Prices_6_21_RF,46.661472,45.3024
1110431,ChorusArt Text Gloss,ChorusArt Text Gloss,White,70,140,4,0.0032,25,38,10259,Spicers US,1110431,2,1,4510.02,,11000,Updated_Prices_6_21_RF,98.97888,96.096
1110322,ChorusArt Text Silk,ChorusArt Text Silk,White,70,70,4,0.0036,19,25,10259,Spicers US,1110322,2,1,4510.02,,19000,Updated_Prices_6_21_RF,49.48944,48.048
1110323,ChorusArt Text Silk,ChorusArt Text Silk,White,70,127,4,0.0036,24,36,10259,Spicers US,1110323,2,1,4510.02,,9500,Updated_Prices_6_21_RF,89.787984,87.1728
1110324,ChorusArt Text Silk,ChorusArt Text Silk,White,70,165,4,0.0036,28,40,10259,Spicers US,1110324,2,1,4510.02,,9500,Updated_Prices_6_21_RF,116.65368,113.256
1110325,ChorusArt Text Silk,ChorusArt Text Silk,White,80,80,4,0.004,19,25,10259,Spicers US,1110325,2,1,4510.02,,16000,Updated_Prices_6_21_RF,56.55936,54.912
1110326,ChorusArt Text Silk,ChorusArt Text Silk,White,80,146,4,0.004,24,36,10259,Spicers US,1110326,2,1,4510.02,,8000,Updated_Prices_6_21_RF,103.220832,100.2144
1110327,ChorusArt Text Silk,ChorusArt Text Silk,White,80,189,4,0.004,28,40,10259,Spicers US,1110327,2,1,4510.02,,8000,Updated_Prices_6_21_RF,133.621488,129.7296
1110328,ChorusArt Text Silk,ChorusArt Text Silk,White,100,100,4,0.0051,19,25,10259,Spicers US,1110328,2,1,4510.02,,13000,Updated_Prices_6_21_RF,70.6992,68.64
1110329,ChorusArt Text Silk,ChorusArt Text Silk,White,100,182,4,0.0051,24,36,10259,Spicers US,1110329,2,1,4510.02,,6500,Updated_Prices_6_21_RF,128.672544,124.9248
1110330,ChorusArt Text Silk,ChorusArt Text Silk,White,100,236,4,0.0051,28,40,10259,Spicers US,1110330,2,1,4510.02,,6500,Updated_Prices_6_21_RF,166.850112,161.9904
1110355,ChorusArt Text Silk,ChorusArt Text Silk,White,60,104,4,0.0032,23.5,35,10259,Spicers US,1110355,2,1,4510.02,,11000,Updated_Prices_6_21_RF,76.869312,74.6304
1110356,ChorusArt Text Silk,ChorusArt Text Silk,White,60,122,4,0.0032,25.5,38,10259,Spicers US,1110356,2,1,4510.02,,11000,Updated_Prices_6_21_RF,90.173616,87.5472
1110357,ChorusArt Text Silk,ChorusArt Text Silk,White,60,141,4,0.0032,28,40,10259,Spicers US,1110357,2,1,4510.02,,11000,Updated_Prices_6_21_RF,104.217048,101.1816
1110358,ChorusArt Text Silk,ChorusArt Text Silk,White,70,103,4,0.0036,24,29,10259,Spicers US,1110358,2,1,4510.02,,9500,Updated_Prices_6_21_RF,72.820176,70.6992
1110359,ChorusArt Text Silk,ChorusArt Text Silk,White,70,121,4,0.0036,23.5,35,10259,Spicers US,1110359,2,1,4510.02,,9500,Updated_Prices_6_21_RF,85.546032,83.0544
1110360,ChorusArt Text Silk,ChorusArt Text Silk,White,70,143,4,0.0036,25.5,38,10259,Spicers US,1110360,2,1,4510.02,,9500,Updated_Prices_6_21_RF,101.099856,98.1552
1110361,ChorusArt Text Silk,ChorusArt Text Silk,White,80,115,4,0.004,23.5,29,10259,Spicers US,1110361,2,1,4510.02,,8000,Updated_Prices_6_21_RF,81.30408,78.936
1110362,ChorusArt Text Silk,ChorusArt Text Silk,White,80,117,4,0.004,24,29,10259,Spicers US,1110362,2,1,4510.02,,8000,Updated_Prices_6_21_RF,82.718064,80.3088
1110363,ChorusArt Text Silk,ChorusArt Text Silk,White,80,139,4,0.004,23.5,35,10259,Spicers US,1110363,2,1,4510.02,,8000,Updated_Prices_6_21_RF,98.271888,95.4096
1110364,ChorusArt Text Silk,ChorusArt Text Silk,White,80,163,4,0.004,25.5,38,10259,Spicers US,1110364,2,1,4510.02,,8000,Updated_Prices_6_21_RF,115.239696,111.8832
1110365,ChorusArt Text Silk,ChorusArt Text Silk,White,100,147,4,0.0051,24,29,10259,Spicers US,1110365,2,1,4510.02,,6500,Updated_Prices_6_21_RF,103.927824,100.9008
1110367,ChorusArt Text Silk,ChorusArt Text Silk,White,100,173,4,0.0051,23.5,35,10259,Spicers US,1110367,2,1,4510.02,,6500,Updated_Prices_6_21_RF,122.309616,118.7472
1110368,ChorusArt Text Silk,ChorusArt Text Silk,White,100,204,4,0.0051,25.5,38,10259,Spicers US,1110368,2,1,4510.02,,6500,Updated_Prices_6_21_RF,144.226368,140.0256
